doesThisCountryExist,30-08-2020 11:51:32,Thread-6
printLowestSalaryinWorld,30-08-2020 11:51:32,Thread-3
getNumberOfEmployees,30-08-2020 11:51:32,Thread-4
printListOfSecretaries,30-08-2020 11:51:32,Thread-6
printBigestSalaryinWorld,30-08-2020 11:51:32,Thread-3
getNumberOfPersons,30-08-2020 11:51:32,Thread-4
printListOfStudents,30-08-2020 11:51:32,Thread-6
getSumOfSalaries,30-08-2020 11:51:32,Thread-4
printFacultyEmployees,30-08-2020 11:51:32,Thread-5
getNumberOfEmployees,30-08-2020 11:54:22,Thread-4
printListOfOtherJobs,30-08-2020 11:54:22,Thread-5
printMedianSalaryInWworld,30-08-2020 11:54:22,Thread-3
printLowestSalaryinWorld,30-08-2020 11:54:22,Thread-3
printCountries,30-08-2020 11:54:22,Thread-6
getNumberOfPersons,30-08-2020 11:54:22,Thread-4
printBigestSalaryinWorld,30-08-2020 11:54:22,Thread-3
getSumOfSalaries,30-08-2020 11:54:22,Thread-4
doesThisCountryExist,30-08-2020 11:54:22,Thread-6
printListOfSecretaries,30-08-2020 11:54:22,Thread-6
printListOfStudents,30-08-2020 11:54:22,Thread-6
printFacultyEmployees,30-08-2020 11:54:22,Thread-5
